BMU,capacity,latitude,longitude,,,,,,,,,,
DDGNO-1,101,53.265355,1.380715,,,,,,,,,,
DDGNO-2,83,53.1554,1.22479,,,,,,,,,,
DDGNO-3,107,53.1554,1.22479,,,,,,,,,,
DDGNO-4,102,53.1554,1.22479,,,,,,,,,,
GAOFO-2,88,51.726689,1.245325,,,,,,,,,,
GAOFO-3,88,51.5484,1.8454,,,,,,,,,,
GAOFO-4,88,51.5484,1.8454,,,,,,,,,,
MYGPW-1,26,55.261637,-3.460482,,,,,,,,,,
GNAPW-1,22,55.02123,-5.00222,,,,,,,,,,
HBHDW-1,52,55.8,-3.6,,,,,,,,,,
HLGLW-1,27.6,57.5,-3.7,,,,,,,,,,
NOVAW-2,36.8,57.7,-4.43,,,,,,,,,,
HLTWW-1,48,57.4867,-3.0275,,,,,,,,,,
CLDNW-1,198,55.468552,-3.595056,,,,,,,,,,
GORDW-1,84,58.1031,-3.9396,,,,,,,,,,
WHILW-2,176,55.6872,-4.2286,,,,,,,,,,
BTUIW-2,43.7,55.526791,-5.705059,,,,,,,,,,
GRGBW-2,168,51.9333,1.8833,,,,,,,,,,
GRGBW-3,168,51.9333,1.8833,,,,,,,,,,
CAIRW-2,44,57.54,-3.37,,,,,,,,,,
CMSTW-1,50,58.443367,-3.158741,,,,,,,,,,
CLDCW-1,196,55.419488,-3.634978,,,,,,,,,,
OMNDO-1,142,54.1,-3.4167,,,,,,,,,,
CRGHW-1,46,56.4622,-5.1024,,,,,,,,,,
WLNYO-2,177,54.08103,-3.60432,,,,,,,,,,
WDNSO-1,192,53.98406,-3.46437,,,,,,,,,,
WDNSO-2,192,54.1673,-3.38708,,,,,,,,,,
CRMNW-1,26,57.28399,-4.13289,,,,,,,,,,
HYWDW-1,31,57.801111,-1.600833,,,,,,,,,,
SANQW-1,31,55.365,-4.0254,,,,,,,,,,
FALGW-1,144,55.8313,-2.688,,,,,,,,,,
ABRTW-1,34,55.6239,-3.98417,,,,,,,,,,
HMGTO-1,108,53.639656,0.285863,,,,,,,,,,
EDTRW-1,15,57.49927,-2.958155,,,,,,,,,,
GFLDW-1,32,53.6765,-0.8599,,,,,,,,,,
WTMSO-1,200,53.80588,0.149823,,,,,,,,,,
RMPNO-1,200,50.666667,-0.266667,,,,,,,,,,
RMPNO-2,200,50.666667,-0.266667,,,,,,,,,,
BABAW-1,52,58.5679,-3.677,,,,,,,,,,
AIRSW-1,35,54.9739,-4.7075,,,,,,,,,,
CGTHW-1,69,57.24135,-4.445515,,,,,,,,,,
DUNGW-1,94,57.27888,-4.262481,,,,,,,,,,
GDSTW-1,13,57.4619,-2.4828,,,,,,,,,,
LCLTW-1,69,57.6546,-4.8167,,,,,,,,,,
BEINW-1,108.8,57.107165,-4.943161,,,,,,,,,,
BHLAW-1,108,57.1756,-4.8049,,,,,,,,,,
BRNLW-1,7.05,56.843938,-2.374485,,,,,,,,,,
